ID,AreaName_lang
11550,
11552,
11553,
11554,
11555,
11556,
11557,
11558,
11559,
11560,
11561,
11562,
11563,
11564,
11565,
11566,
11570,
11572,
11573,
11574,
11575,
11576,
11577,
11578,
11579,
11580,
11581,
11582,
11583,
11584,
11585,
11586,Ahn'Qiraj
11587,
11589,
11595,
11596,
11597,
11607,
11609,
11611,
11612,
11614,
11615,
11616,
11617,
11621,
11627,
11632,
11633,
11634,
11635,
11636,
11637,
11638,
11639,
11640,
11641,
11642,
11643,
11644,
11645,
11646,
11647,
11648,
11649,
11650,
11651,
11652,
11653,
11654,
11655,
11656,
11657,
11658,
11659,
11660,
11661,
11663,
11664,
11665,
11666,
11667,
11670,
11673,
11677,
11678,
11679,
11680,
11681,
11682,
11683,
11684,
11685,
11686,
11687,
11688,
11689,
11690,
11691,
11692,
11693,
11694,
11695,
11696,
11697,
11698,
11699,
11700,
11701,
11702,
11703,
11705,
11706,
11707,
11708,
11709,
11710,
11711,
11712,
11713,
11714,
11715,The Deadmines
11716,
11717,
11718,
11719,
11720,
11721,
11722,
11723,
11724,
11725,
11726,
11727,
11728,
11729,
11730,
11731,
11732,
11733,
11734,
11735,
11736,Defias Hideout
11737,Defias Hideout
11738,Defias Hideout
11739,
11740,Defias Hideout
11741,Defias Hideout
11742,
11743,Defias Hideout
11744,
11745,
11746,
11747,
11748,
11749,
11750,
11751,
11752,
11753,
11754,The Deadmines
11755,
11756,
11757,
11758,
11759,
11760,
11761,
11762,
11763,
11764,
11765,
11766,
11767,
11768,
11769,
11770,
11771,
11772,Ironclad Cove
11773,
11774,
11775,
11776,Goblin Foundry
11778,Ironclad Cove
11779,Ironclad Cove
11780,Ironclad Cove
11781,Ironclad Cove
11783,Ironclad Cove
11786,Ironclad Cove
11787,Ironclad Cove
11788,Ironclad Cove
11789,Ironclad Cove
11790,Ironclad Cove
11795,Ironclad Cove
11798,Ironclad Cove
11801,Ironclad Cove
11802,
11803,
11804,
11805,
11806,
11807,Ironclad Cove
11808,Mast Room
11809,The Deadmines
11810,
11811,
11812,
11813,
11814,
11815,
11816,
11817,
11818,
11819,
11820,
11821,
11822,
11823,
11824,
11825,
11826,
11827,
11828,
11829,
11830,
11831,
11832,
11833,
11834,
11835,
11836,
11837,
11838,
11839,
11841,
11842,
11844,
11845,
11846,
11847,
11848,
11849,
11850,
11851,
11852,
11853,
11854,
11855,
11856,
11857,
11858,
11860,
11861,
11862,
11863,
11864,
11865,
11866,
11867,
11868,
11869,
11870,
11871,
11872,
11873,
11874,
11875,
11876,
11877,
11878,
11879,
11880,
11881,
11882,
11883,
11884,
11885,
11886,
11887,
11888,
11889,
11890,
11891,
11892,
11893,
11894,
11895,
11896,
11897,
11898,
11899,
