ID,Description_lang
15757,
15759,
15760,
15774,
16025,
16037,
17565,
17567,
17569,
17575,
17577,
17593,
17597,
17599,
17601,
18569,
18570,
18571,$@spelldesc132302
18572,
18574,
18576,
18577,
18579,
18580,
18585,
19138,
19140,
19165,
19166,
19218,
19219,
19220,
19221,
19226,
19227,
19228,
19230,
19231,
19232,
19233,
19234,
19235,
19237,
19238,
19239,
19240,
19241,
19245,
19249,
19250,
19259,
19260,
19262,
19263,
19264,
19265,
19266,
19269,
19271,
19272,
19273,
19275,
19279,
19280,
19281,
19283,
19284,
19285,
19286,
19290,
19291,
19292,
19293,
19295,
19302,
19304,
19347,
19348,
19357,
19361,
19676,
19771,
19818,
19819,
19820,
19823,
19992,
19993,
19994,
19995,
20173,
20174,
20175,
20184,
20185,
21144,
21145,
21180,
21186,
21188,
21191,
21193,
21198,
21199,
21201,
21202,
21204,
21207,
21208,
21209,
21630,
21631,
21632,
21633,
21634,
21646,
21648,
21649,
21651,
21653,
21655,
21667,
21671,
21675,
21694,
21695,
21702,
21704,
21705,
21706,
21707,
21708,
21709,
21710,
21711,
21712,
21713,
21714,
21716,
21717,
21778,
21811,
21854,
21857,
21862,
21863,
21864,
21865,
21866,
21867,
21868,
21869,
21870,
21900,
21901,
21902,
21963,
21966,
21968,
21969,
21970,
21971,
21972,
21973,
21986,
21990,
21997,
21998,
22002,
22013,
22014,
22015,
22016,
22017,
22018,
22019,
22020,
22021,
22023,
22024,
22025,
22026,
22027,
22028,
22029,
22030,
22038,
22039,
22040,
22042,
22043,
22044,
22045,
22046,
22047,
22048,
22089,
22090,
22093,
22096,
22097,
22098,
22099,
22101,
22102,
22103,
22104,
22105,
22106,
22107,
22108,
22109,
22110,
22114,
22115,
22118,
22119,
22120,
22121,
22122,
22123,
22125,
22127,
22128,
22132,
22133,
22134,
22135,
22144,
22145,
22149,
22152,
22153,
22156,
22157,
22158,
22159,
22160,
22163,
22165,
22166,
22167,
22168,
22169,
22170,
22171,
22172,
22176,
22179,
22180,
22183,
22189,
22215,
22218,
22219,
22220,
22266,
22267,
22268,
22269,
22271,
22272,
22273,
22274,
22275,
22276,
22277,
22278,
22279,
22280,
22282,
22283,
22286,
22287,
22288,
22289,
22290,
22291,
22295,
22296,
22297,
22299,
22300,
22301,
22308,
22309,
22319,
22322,
22323,
22324,
22331,
22332,
22333,
22335,
22336,
22337,
22338,
22339,
22340,
22343,
22344,
22347,
22351,
22352,
22353,
22354,
22355,
22356,
22357,
22358,
22359,
22360,
22362,
22363,
22364,
22365,
22366,
22367,
22370,
22371,
22372,
22378,
22379,
22380,
22381,
22382,
22383,
22384,
22385,
22386,
22387,
22388,
22389,
22390,
22391,
22392,
22393,
22394,
22395,
22396,
22397,
22398,
22399,
22400,
22401,
22402,
22403,
22404,
22405,
22406,
22407,
22409,
22416,
22418,
22419,
22421,
22422,
22423,
22426,
22427,
22428,
22431,
22433,
22434,
22435,
22438,
22441,
22442,
22443,
22444,
22445,
22446,
22447,
22448,
22449,
22450,
22451,
22452,
22453,
22454,
22455,
22456,
22457,
22458,
22459,
22460,
22461,
22462,
22463,
22464,
22465,
22466,
22467,
22468,
22469,
22470,
22471,
22472,
22473,
22474,
22477,
22479,
22480,
22483,
22484,
22488,
22489,
22491,
22493,
22494,
22495,
22497,
22498,
22499,
22500,
22501,
22502,
22503,
22504,
22505,
22507,
22508,
22509,
22510,
22511,
22512,
22513,
22515,
22516,
22517,
22518,
22519,
22520,
22521,
22522,
22523,
22524,
22525,
22526,
22527,
22528,
22529,
22530,
22531,
22532,
22533,
22534,
22535,
22536,
22537,
22538,
22540,
22541,
22543,
22544,
22546,
22547,
22557,
22558,
22590,
22592,
22604,
22624,
22625,
22626,
22627,
22628,
22629,
22631,
22632,
22633,
22634,
22636,
22645,
22765,
22766,
22767,
22768,
22769,
22770,
22789,
22799,
22800,
22904,
22907,
22909,
22977,
23015,
23022,
23036,
23037,
23044,
23063,
23071,
23072,
23073,
23074,
23075,
23077,
23078,
23086,
23087,
23089,
23090,
23091,
23092,
23093,
23096,
23097,
23099,
23100,
23104,
23105,
23106,
23107,
23108,
23109,
23110,
23111,
23122,
23128,
23138,
23139,
23140,
23141,
23143,
23144,
23146,
23147,
23148,
23155,
23156,
23157,
23158,
23159,
23160,
23161,
23162,
23163,
23164,
23165,
23166,
23167,
23174,
23175,
23176,
23183,
23190,
23191,
23258,
23260,
23362,
23363,
23364,
23371,
23372,
23373,
23454,
23455,
23456,
23457,
23460,
23461,
23462,
23463,
23464,
23465,
23466,
23467,
23468,
23469,
23470,
23680,
23681,
